income,area,floor,age,distance_to_center,school_quality,transport,green_rate,price
9.490142459033699,123.35083228499913,22,27,20.37884213244392,10,10,49.32718279550237,332099.36958981084
7.585207096486446,83.46442851014399,28,10,22.14868657271723,9,9,17.969513287446055,338727.2337536612
9.943065614302078,75.45403349733078,26,34,5.960890027945429,10,6,12.204610819876606,434615.673900661
12.569089569224076,99.89876627767144,9,36,6.1489750379938,10,5,29.699375385652758,331553.0738176829
7.297539875829992,94.89446132425215,7,25,1.0,7,1,30.819608507096017,332642.45269520656
7.297589129152458,86.40315852018175,26,6,11.109835747623668,5,6,32.54536690944771,276919.7656063366
12.737638446522174,120.89162342370146,21,24,17.21819800183335,7,6,51.34517720134843,382944.27126844955
10.302304187458727,128.6591562571153,24,18,2.8058075275334198,3,3,14.900270743547086,413843.37805952306
6.591576842195144,102.65220658875542,15,23,5.4697259387570885,2,3,45.19710412109811,101151.37057986004
9.627680130757895,144.32590243165785,2,6,18.253535032869074,5,3,26.897278552264538,357298.97938983
6.609746921562613,65.74932657599484,23,29,20.965508154354602,4,3,25.4990068217735,142554.90439281712
6.60281073928923,94.19021622160845,20,25,2.7862980845511034,5,7,56.62715630429899,378268.14040563843
8.725886814698102,78.49533038191585,25,17,7.997765776660357,8,10,22.4234262208371,323799.5092934668
2.2601592660266068,44.0039014878082,12,46,2.1380374173656467,4,2,42.12659176696832,222559.88860220616
2.8252465024609013,97.51957942471903,1,24,1.0745021326639204,9,10,23.7563878688046,343913.8964909991
6.313137412277082,96.3475747485015,23,11,24.204737748903188,7,10,35.35719413201926,297189.6289040348
4.961506638996728,145.40349229726394,22,26,17.176218782347263,10,2,49.31464462981389,254346.7877699703
8.942741997785822,118.92435053664333,8,34,14.272617903951584,7,3,54.08612617581303,293905.9534044124
5.275927773436367,69.27439527012385,5,28,1.0,8,10,51.93486201475252,398784.8515292763
3.7630888959941258,155.62277699002564,15,3,18.56162272921303,6,7,39.10903680723199,241978.69732776575
12.396946306764661,136.63101086576057,1,11,5.763318590419014,8,3,22.440815766911108,294904.16968333034
7.322671098540393,117.46293110405847,1,38,4.191510193550425,3,7,43.061669163093285,245045.2216746756
8.202584614063772,93.20547703450504,25,14,7.907078851523114,10,9,45.4952522889804,416656.0536454623
3.725755441359629,71.2168228982956,10,26,1.0,10,10,10.534599505675072,390666.93537418434
6.366851826424452,88.83379671786841,22,48,14.132403630308566,1,4,31.96052554659373,187234.72321899605
8.332767769129598,132.66245859112558,10,21,8.733152423216204,6,7,52.16310214108822,307617.2072703672
4.547019267733091,156.53758917803827,21,39,2.0652011060546265,1,9,34.479379812152374,416789.6173490651
9.127094055037016,146.29730584816568,15,30,2.085409400216103,9,8,25.56877210816606,439250.23780938855
6.198083930243585,85.33451734641177,17,8,2.036456905191743,2,8,53.58988855123314,380996.3086273372
7.12491875062017,66.41147700132967,22,20,1.0,2,9,17.794034876490286,288743.5062274898
6.19488016331181,104.22658740733611,6,48,8.862428486980283,7,5,20.322261620810018,111698.61306218727
13.556834553526812,46.94681903311445,3,32,18.34759944844268,2,5,44.36861834680667,235038.4613671144
7.9595083257861985,109.69503142554345,13,22,1.0,10,3,27.62179707632875,313761.34040086356
4.826867213132299,95.57192241103994,16,7,1.0,8,5,45.65084178668895,307679.6306629063
10.467634736309567,86.01890494395273,8,9,8.50433416712856,6,8,17.885181062974596,289107.5920802886
